"","MIC_003_HMP","MIC_005_HMP","MIC_006_HMP","MIC_007_HMP","MIC_009_HMP","MIC_010_HMP","MIC_011_HMP","MIC_012_HMP","MIC_013_HMP","MIC_014_HMP","MIC_015_HMP","MIC_016_HMP","MIC_017_HMP","MIC_019_HMP","MIC_020_HMP","MIC_021_HMP","MIC_022_HMP","MIC_023_HMP","MIC_024_HMP","MIC_025_HMP","MIC_026_HMP","MIC_027_HMP","MIC_028_HMP","MIC_029_HMP","MIC_030_HMP","MIC_031_HMP","MIC_032_HMP","MIC_033_HMP","MIC_034_HMP","MIC_036_HMP","MIC_037_HMP","MIC_039_HMP","MIC_040_HMP","MIC_042_HMP","MIC_043_HMP","MIC_044_HMP","MIC_045_HMP","MIC_047_HMP","MIC_049_HMP","MIC_050_HMP","MIC_052_HMP","MIC_053_HMP","MIC_054_HMP","MIC_055_HMP","MIC_056_HMP","MIC_057_HMP","MIC_058_HMP","MIC_059_HMP","MIC_062_HMP","MIC_063_HMP","MIC_064_HMP","MIC_065_HMP","MIC_066_HMP","MIC_067_HMP"
"Otu0001",58,14,2602,842,486,660,101,524,786,1288,307,523,131,775,612,679,203,1158,1334,77,210,621,1243,1189,1766,3238,989,1104,93,343,27,1837,3290,1643,1540,760,2928,1145,407,563,1792,441,1810,231,7,74,501,12,132,112,67,178,1034,28
"Otu0002",26,8,129,0,2181,1426,543,1,1078,40,5,549,259,1079,90,90,24,596,190,185,429,1182,948,622,474,77,1160,1877,195,447,21,84,93,1330,1375,1044,2088,1347,60,433,61,432,261,394,37,173,391,104,9,312,179,68,78,79
"Otu0003",0,5,12,8,13,87,45,4,45,1050,257,121,2,2,29,5,4,24,90,5,1,57,41,247,78,50,0,1,1497,507,151,20,29,0,130,1,0,297,11,7,14,70,103,33,7,0,103,32,136,850,2036,1927,6943,789
"Otu0004",211,2,70,4,839,677,198,22,528,19,2,204,162,322,488,499,166,354,34,82,209,303,627,235,251,15,834,746,84,190,5,15,22,411,730,371,1006,576,27,167,10,227,94,167,13,75,128,48,1,74,100,6,23,24
"Otu0005",6,0,622,0,51,101,6,240,13,350,0,98,7,4,70,6,3,1,1180,4,260,44,21,259,350,1132,1,21,21,57,41,1414,784,74,746,0,1129,4,126,191,233,299,1535,23,8,28,141,5,33,1,9,288,210,23
"Otu0006",0,0,507,0,16,48,1,21,21,1228,0,66,1,0,0,0,1,6,57,3,67,13,13,36,76,539,1,0,0,45,18,381,2219,333,309,0,1,2,251,229,600,170,449,5,10,3,106,4,35,5,11,29,107,0
"Otu0007",77,2,8,3,246,231,52,10,124,3,0,74,46,170,226,243,71,73,21,20,88,156,137,117,43,6,183,309,26,68,2,6,5,177,191,167,265,187,12,43,12,45,36,53,6,13,50,10,1,56,31,7,17,7
"Otu0008",5,0,0,480,0,0,0,0,0,0,0,1,0,0,38,0,572,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"Otu0009",1,0,19,0,19,0,0,356,2,4,0,11,1,1,0,0,0,0,28,0,16,2,2,2,455,689,1,1,1,1,17,278,2,0,0,0,0,1,70,85,37,330,1097,38,1,2,1,1,162,0,9,11,12,0
"Otu0010",1,2,24,1,35,183,37,4,40,1062,332,113,1,1,3,0,0,34,65,7,1,50,45,47,44,42,0,1,146,16,10,16,23,12,108,2,1,13,9,7,8,31,81,27,3,0,51,23,7,72,134,165,448,55
"Otu0011",38,1,20,0,288,158,35,0,136,2,0,50,31,122,94,84,27,66,26,16,60,63,102,39,88,7,84,186,14,44,5,1,8,96,198,142,156,136,9,27,6,48,20,31,1,18,20,4,2,21,12,7,10,5
"Otu0012",0,0,157,0,9,0,0,173,9,655,0,22,0,2,0,1,1,2,17,0,8,5,6,3,92,128,0,2,17,13,14,260,52,76,0,0,0,2,23,26,41,142,925,14,2,0,12,2,1,0,1,0,7,8
"Otu0013",6,2,11,1,41,50,8,1,54,0,1,8,18,64,47,78,21,74,6,14,9,65,121,66,31,9,159,202,5,17,0,7,12,129,149,132,311,73,2,8,2,1,5,12,0,9,5,0,0,6,2,0,1,0
"Otu0014",2,0,12,2,41,37,11,2,56,0,0,5,10,70,31,42,26,100,4,4,8,40,140,73,38,10,200,227,1,15,0,4,10,128,185,113,321,31,1,4,2,1,1,5,0,11,5,1,0,3,0,3,1,1
"Otu0015",0,0,108,0,3,29,1,10,1,4,0,23,0,0,18,2,0,0,222,0,28,4,2,99,66,212,0,5,2,9,2,384,223,8,262,0,115,6,36,16,24,56,222,8,0,15,15,0,0,0,1,18,29,1
"Otu0016",0,0,141,0,5,0,0,15,1,0,0,27,0,2,0,0,5,0,26,0,26,7,3,3,104,427,0,2,1,6,9,69,14,0,0,0,0,5,48,53,147,226,731,3,2,0,21,0,46,0,0,10,0,0
"Otu0017",0,0,25,0,7,1,1,2,0,0,0,16,0,0,0,0,0,1,43,0,55,6,2,10,234,404,0,0,10,17,4,158,152,35,0,0,2,5,53,50,68,73,557,0,2,1,23,3,17,0,1,7,7,0
"Otu0018",0,0,121,0,5,4,0,2,1,172,0,20,0,0,0,0,0,5,20,0,8,2,5,17,29,172,0,0,0,7,0,122,694,126,131,0,1,2,35,38,45,30,57,0,0,4,14,0,0,2,0,2,21,0
"Otu0019",0,0,1,0,7,4,0,26,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,7,10,0,0,0,0,0,2,70,58,1450,23,161,1,1,0,4,0,0,8,0,0,0,0
"Otu0020",0,0,122,1,11,0,0,7,2,38,0,18,0,1,0,0,11,0,0,0,1,0,4,1,477,14,0,1,0,1,8,689,73,0,2,0,1,2,45,54,59,17,44,0,0,0,56,0,0,0,0,2,2,1
"Otu0021",0,0,13,0,2,9,0,13,0,1,0,7,2,0,0,0,0,0,19,0,13,5,1,2,94,379,0,2,0,0,8,104,38,26,0,0,0,3,53,27,162,73,448,14,2,0,0,1,27,0,3,19,3,2
"Otu0022",0,0,41,0,2,1,0,5,2,3,0,10,1,5,1,0,0,1,22,2,13,5,4,9,410,273,1,3,5,2,4,52,160,257,1,1,1,2,29,28,62,10,32,2,2,0,25,0,20,0,0,1,22,0
"Otu0023",0,0,150,0,5,1,0,26,1,437,0,9,0,1,1,0,1,0,5,1,3,0,1,1,21,14,0,2,0,19,1,147,295,24,0,0,0,1,43,39,129,14,56,1,0,0,0,0,5,0,6,1,16,1
"Otu0024",0,0,0,0,0,0,0,0,793,3,0,0,0,0,0,0,0,511,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0025",0,0,2,87,21,15,1,0,178,11,3,5,7,14,190,45,3,213,0,4,2,12,212,34,2,1,55,14,6,3,0,2,2,54,10,19,39,60,0,1,0,1,5,0,0,4,0,0,0,6,1,1,26,27
"Otu0026",1,1,6,20,78,17,1,0,162,7,1,17,4,15,53,7,1,233,1,0,11,20,204,45,0,4,73,32,18,2,1,4,2,89,16,44,69,21,1,3,0,0,8,4,0,2,0,0,0,3,6,1,20,60
"Otu0027",0,0,967,0,3,4,0,13,2,3,0,98,0,0,0,0,0,2,0,0,12,0,2,0,102,3,0,1,0,0,2,139,12,0,0,0,0,0,10,4,0,2,3,0,0,0,0,1,0,0,0,0,0,0
"Otu0028",0,0,27,0,3,0,1,0,1,0,8,3,0,0,1,0,0,0,43,0,155,1,2,138,245,315,0,3,2,5,1,35,142,1,1,0,1,1,12,4,63,40,113,0,2,2,6,0,1,0,1,4,0,0
